at0,a1w,a2w,a3w
0.275307071,0.08934143,0.079945956,0.149160014
0.383924351,0.02082819,-0.012111689,-0.090641386
0.246354038,-0.037019792,-0.073924586,-0.025394702
0.23873987,-0.010108694,0.005601473,-0.069768034
0.240397801,0.048606657,-0.00898466,-0.071906805
0.382539074,0.031430066,-0.063592227,-0.015405164
0.163947423,0.001200382,-0.011783773,0.090481733
0.210712676,-0.027847676,0.023710716,0.045313135
0.326099713,-0.007449835,0.073406651,-0.048978594
0.276851191,0.037191116,-0.149007377,-0.133767989
0.337880526,-0.131250742,-0.130505909,-0.297546366
0.140056437,-0.077052017,-0.143543589,-0.244043476
0.300401348,-0.079149154,-0.284573156,-0.239085987
0.29532465,-0.173233017,-0.079460305,-0.09198694
0.727613668,-0.104176879,-0.07477989,-0.034734211
0.90274013,-0.285728544,-0.002412241,-0.002235516
0.330691573,0.168430577,0.212052944,0.355046983
1.621676646,-0.051153859,-0.151923007,-0.070721179
0.588294256,0.141776931,0.192509882,0.241758874
0.719896394,0.150046174,0.171162923,0.040990249
0.590520982,-0.053635868,-0.181306689,-0.037910189
0.595873642,0.011217007,0.241098184,0.279523681
0.294089351,0.248129334,0.345890508,0.588729416
0.5612544,0.13346024,0.667658278,0.478766283
0.392024142,0.4087335,0.24381394,0.191031379
0.999178758,-0.095255184,-0.180189397,-0.291795833
0.356564541,-0.007986425,-0.097118564,-0.086510197
0.32920876,0.102497706,0.134192294,0.193472616
0.345367567,0.080275285,0.043817871,0.018660255
0.346778575,0.148637925,0.151384065,0.196223822
0.459145704,-0.078759082,-0.089136137,0.008964178
0.375204973,0.027646246,0.046098407,0.174611785
0.408881179,-0.005386817,0.074775279,0.056424147
1.347409302,-0.006492567,-0.128987516,-0.144167686
0.506890524,-0.006179119,-0.046193716,-0.056978663
0.374762106,-0.105395434,-0.045704571,-0.084165595
0.248493526,0.032577569,0.010632371,-0.008145868
0.284623874,-0.019826951,-0.060644736,-0.013971036
0.328189999,-0.024971927,0.068687197,-0.053756088
0.203890182,0.141625562,0.048225749,0.10411586
0.59560463,-0.090036535,-0.07758756,0.060064166
0.203153392,0.093600326,0.184169665,0.230128834
0.343783682,0.013624663,0.035549723,0.008320435
0.470671596,-0.024302254,0.055867942,-0.08820366
0.264987899,0.077511554,0.023203862,0.134150093
0.366835555,-0.124257263,-0.120164285,-0.029673229
0.178921266,0.081324058,0.133370822,0.216608452
0.576015561,0.089510901,0.244520682,0.398786964
0.578319138,0.0784146,0.137187056,0.144551675
0.550543501,0.130377522,0.160052057,0.170782449
0.511815196,-0.104294481,-0.039474447,0.013927869
0.406281533,-0.047658671,-0.063339863,-0.029246469
0.466794142,-0.020755781,-0.04861168,-0.037768376
0.444811465,-0.009955151,0.002866173,0.209874793
0.377832027,0.064287178,0.163178165,0.314888887
0.366690883,0.226373599,0.321176294,0.421968111
0.51014897,0.031481267,0.151514488,0.068646632
0.415313122,0.208614404,0.929940499,0.312615716
0.484863583,0.866647566,0.198864083,0.127609878
1.179167395,-0.158289679,-0.071111576,0.013591785
0.509126651,0.086256803,0.089111925,-0.027311716
0.464217515,0.055727551,-0.097877344,-0.030943172
0.283850421,-0.154118642,-0.151783133,-0.07191293
0.430890894,0.087023055,0.281669571,0.194382514
0.385201768,0.125878386,0.048123829,0.021016353
0.615191844,0.013580988,-0.146396172,-0.156263872
0.380844427,-0.101424342,-0.072327468,-0.075144785
0.158872588,-0.063615841,-0.082839846,-0.086353209
0.209038331,-0.0325745,-0.067662786,-0.082666398
0.224097706,0.036649753,0.028347953,0.007036837
0.238423417,0.013774152,-0.019624627,0.081528214
0.234079941,0.042288126,0.041673447,0.030531849
0.276577793,0.057225527,0.058182703,0.129060069
0.385859126,-0.011337763,-0.029226307,0.008072185
0.29318523,0.026937405,0.223242711,0.422460418
0.254978171,0.075252424,0.116483631,0.161864915
0.428041873,0.159822909,0.247395174,0.185417626
0.332566968,0.010397048,-0.031092687,-0.006440834
0.276410492,-0.026269688,0.061984192,-0.060454707
0.201731681,0.016520877,-0.061191509,-0.080505705
0.401467952,-0.096474978,-0.117706081,-0.265515969
0.225783075,0.009193078,-0.049284153,-0.052057917
0.177541296,-0.057598805,-0.051205351,-0.075105367
0.123885193,-0.056072866,-0.074865378,-0.085019126
0.247810832,0.016996538,-0.016451436,-0.007306307
0.201879369,0.007663781,0.024935842,-0.020493796
0.253102273,0.009105801,-0.04086916,0.012031655
0.214152587,-0.049438112,0.010762014,0.088834496
0.12395181,0.017074095,0.015186593,-0.030044366
0.317060179,-0.00600289,-0.033883432,0.003576144
0.28057523,0.000401839,-0.028636265,-0.011303141
0.168785564,-0.041734194,-0.044160462,0.013077224
0.234517479,0.048709417,0.086246607,0.055040731
0.238824729,0.035238238,0.052847846,0.086031319
0.278058503,-0.034306209,-0.059271485,-0.057188652
0.27861908,-0.001869522,-0.004028996,-0.067678727
0.223039913,0.027485104,0.019576186,0.063135415
0.210284654,-0.037336244,-0.036055078,-0.038959459
0.287406841,-0.014231939,0.001397125,-0.047596215
0.40096447,-0.031898808,-0.085034,-0.118634529
0.274755334,-0.077459974,-0.116290991,-0.235654127
0.148849576,-0.054176078,-0.125044225,-0.120194721
0.169609745,-0.060234068,-0.043215508,-0.128080067
0.142984653,0.027105413,-0.02087999,0.00444537
0.265194925,-0.140050924,-0.113657948,-0.12699885
0.21857191,-0.005584288,-0.031659018,-0.068156629
0.18765998,0.02604863,0.001592277,6.76058E-06
0.285947806,-0.045032684,-0.1006581,-0.188676356
0.272335301,0.024318525,-0.013642976,0.019150229
0.229215958,-0.096318348,-0.157230267,-0.135857925
0.150284895,-0.066552772,0.02412686,0.049907814
0.275331721,0.028635464,0.062939956,0.035490013
0.275668719,0.024583294,-0.020478886,0.00165197
0.332756737,-0.014192026,-0.038521778,0.03567744
0.301375882,0.002107653,0.009563947,0.043711703
0.389585962,0.018977405,-0.011661948,0.002273011
0.390644987,0.051667349,0.011084198,0.093249992
0.325342967,-0.064100811,0.049809055,0.120195412
0.493036146,-0.014644359,0.00136542,-0.013406362
0.382225515,0.0199081,0.037114496,0.106993674
0.30431823,-0.064024157,-0.082917075,-0.15030688
0.245195743,-0.029952391,-0.047726383,-0.063008081
0.232560494,-0.06515828,-0.092542137,-0.079509946
0.138727003,-0.031893423,0.021663604,-0.020083888
0.23125772,-0.015806683,-0.060109935,0.009154958
0.310390452,-0.077765164,-0.038269522,0.065129306
0.269806035,-0.009451789,0.066948278,0.08986486
0.296498372,-0.007309847,0.045913347,
0.378206346,0.085221484,,
0.325762506,,,
